#字頭	聲母	韻母	陰陽	四聲	小韻	釋義
先	心	先	陰	平	先	前進又始也
𥑻	心	先	陰	平	先	玉次石
仙	心	先	陰	平	先	神仙
僊	心	先	陰	平	先	同上【仙】（神仙）
褼	心	先	陰	平	先	褊褼衣貌
鮮	心	先	陰	平	先	新鮮
天	透	先	陰	平	天	積陽氣而上浮者也
䒶	透	先	陰	平	天	古文天字
靝	透	先	陰	平	天	古文天字
千	清	先	陰	平	千	十百曰千
躚	清	先	陰	平	千	蹁躚
芊	清	先	陰	平	千	草盛貌
阡	清	先	陰	平	千	田箕也南北曰阡東西曰陌
韆	清	先	陰	平	千	鞦韆
遷	清	先	陰	平	千	移徙
迁	清	先	陰	平	千	同上【遷】（移徙）
邊	幫	先	陰	平	邊	旁邊
蝙	幫	先	陰	平	邊	蝙蝠
籩	幫	先	陰	平	邊	籩豆盛黍稷之器
𩽲	幫	先	陰	平	邊	魚名
鞭	幫	先	陰	平	邊	馬鞭
編	幫	先	陰	平	邊	簡編
緶	幫	先	陰	平	邊	縫衣曰緶又網巾緶
箯	幫	先	陰	平	邊	竹輿曰箯
辮	幫	先	陰	平	邊	辮髮
篇	滂	先	陰	平	篇	書篇
偏	滂	先	陰	平	篇	不正也
翩	滂	先	陰	平	篇	翩翻又疾飛也
扁	滂	先	陰	平	篇	小舟也
艑	滂	先	陰	平	篇	艑艖舟名也
堅	見	先	陰	平	堅	實也
肩	見	先	陰	平	堅	膊肩
鵳	見	先	陰	平	堅	雁也
鈃	見	先	陰	平	堅	似鐘而頸長
豣	見	先	陰	平	堅	三歳豕
犍	見	先	陰	平	堅	犍牛
枅	見	先	陰	平	堅	木名
幵	見	先	陰	平	堅	姓
汧	見	先	陰	平	堅	汧渭秦地也
煙	以	先	陰	平	煙	煙霧火煙
烟	以	先	陰	平	煙	同上【煙】（煙霧火煙）
胭	以	先	陰	平	煙	胭脂
臙	以	先	陰	平	煙	同上【胭】（胭脂）
燕	以	先	陰	平	煙	國名
鄢	以	先	陰	平	煙	姓
嫣	以	先	陰	平	煙	笑貌
蔫	以	先	陰	平	煙	物不鮮也
歅	以	先	陰	平	煙	九方歅善相馬者即九方臯也
焉	以	先	陰	平	煙	何也
旃	照	先	陰	平	旃	通白之器又解曰之
氊	照	先	陰	平	旃	以毛爲物曰氊
毡	照	先	陰	平	旃	同上【氊】（以毛爲物曰氊）
饘	照	先	陰	平	旃	粥也
飦	照	先	陰	平	旃	同上【饘】（粥也）
鸇	照	先	陰	平	旃	食雀之鳥
鱣	照	先	陰	平	旃	魚名
羶	照	先	陰	平	旃	腥羶羊脂也
驙	照	先	陰	平	旃	馬載貌
儃	照	先	陰	平	旃	態也又回不進也
邅	照	先	陰	平	旃	迍邅
顫	照	先	陰	平	旃	四肢奏掉曰顫
愆	曉	先	陰	平	愆	過失也
諐	曉	先	陰	平	愆	同上【愆】（過失也）
牽	曉	先	陰	平	愆	連也引也
騫	曉	先	陰	平	愆	姓
搴	曉	先	陰	平	愆	拔取也
褰	曉	先	陰	平	愆	揭衣曰褰
軒	曉	先	陰	平	愆	廂也窓也又車之前後也
掀	曉	先	陰	平	愆	以手髙舉
箋	精	先	陰	平	箋	簡牒
戔	精	先	陰	平	箋	戔戔淺少之貌
